Date,NAV
2022-12-01,160.50
2023-01-01,157.02
2023-02-01,151.63
2023-03-01,155.80
2023-04-01,143.76
2023-05-01,147.65
2023-06-01,141.85
2023-07-01,145.76
2023-08-01,141.70
2023-09-01,137.76
2023-10-01,153.61
2023-11-01,151.99
2023-12-01,159.19
2024-01-01,169.73
2024-02-01,176.33
2024-03-01,163.09
2024-04-01,171.73
2024-05-01,179.01
2024-06-01,184.41
2024-07-01,194.72
2024-08-01,198.44
2024-09-01,182.13
2024-10-01,178.33
2024-11-01,202.22
2024-12-01,208.42
2025-01-01,200.29
2025-02-01,203.91
2025-03-01,206.94
2025-04-01,210.64
2025-05-01,206.38
2025-06-01,217.82
2025-07-01,221.89
2025-08-01,188.61
2025-09-01,175.87
2025-10-01,171.73
2025-11-01,170.87
