Date,NAV
2022-12-01,42.20
2023-01-01,42.52
2023-02-01,41.33
2023-03-01,44.78
2023-04-01,45.32
2023-05-01,45.12
2023-06-01,46.36
2023-07-01,43.45
2023-08-01,43.83
2023-09-01,46.66
2023-10-01,45.68
2023-11-01,48.23
2023-12-01,51.31
2024-01-01,49.68
2024-02-01,47.29
2024-03-01,45.33
2024-04-01,46.55
2024-05-01,45.29
2024-06-01,45.29
2024-07-01,45.34
2024-08-01,48.30
2024-09-01,47.73
2024-10-01,49.10
2024-11-01,48.20
2024-12-01,52.80
2025-01-01,51.24
2025-02-01,50.71
2025-03-01,54.66
2025-04-01,59.10
2025-05-01,59.96
2025-06-01,60.09
2025-07-01,61.50
2025-08-01,66.51
2025-09-01,67.04
2025-10-01,71.58
2025-11-01,73.61
