Date,NAV
2022-12-01,110.50
2023-01-01,104.82
2023-02-01,101.84
2023-03-01,103.99
2023-04-01,105.35
2023-05-01,111.24
2023-06-01,114.35
2023-07-01,121.70
2023-08-01,123.85
2023-09-01,123.62
2023-10-01,118.72
2023-11-01,115.46
2023-12-01,125.33
2024-01-01,127.17
2024-02-01,123.63
2024-03-01,130.83
2024-04-01,127.31
2024-05-01,129.42
2024-06-01,128.35
2024-07-01,130.40
2024-08-01,136.76
2024-09-01,137.97
2024-10-01,141.73
2024-11-01,144.97
2024-12-01,149.08
2025-01-01,152.64
2025-02-01,154.01
2025-03-01,154.64
2025-04-01,151.16
2025-05-01,151.49
2025-06-01,148.02
2025-07-01,141.20
2025-08-01,137.25
2025-09-01,138.57
2025-10-01,148.38
2025-11-01,143.06
