Date,NAV
2022-12-01,72.12
2023-01-01,77.74
2023-02-01,85.50
2023-03-01,89.28
2023-04-01,89.44
2023-05-01,96.28
2023-06-01,92.77
2023-07-01,92.85
2023-08-01,91.52
2023-09-01,86.97
2023-10-01,89.88
2023-11-01,89.42
2023-12-01,85.61
2024-01-01,88.12
2024-02-01,91.10
2024-03-01,91.58
2024-04-01,92.08
2024-05-01,93.06
2024-06-01,98.93
2024-07-01,97.22
2024-08-01,98.87
2024-09-01,98.44
2024-10-01,97.13
2024-11-01,92.96
2024-12-01,92.69
2025-01-01,93.45
2025-02-01,91.45
2025-03-01,85.53
2025-04-01,93.92
2025-05-01,88.60
2025-06-01,89.39
2025-07-01,93.33
2025-08-01,90.99
2025-09-01,92.91
2025-10-01,92.24
2025-11-01,86.14
